date,time_of_day,day_of_week,borough,location,temperature,humidity,weather,vehicle_type,avg_speed_kmph,vehicle_count,accidents_reported,road_condition_score,holiday_flag,congestion_level
2023-01-06 11:00:00,Afternoon,Saturday,Staten Island,Highway,38.9,71,Stormy,Truck,42.1,4904,3,8,0,HIGH
2023-01-06 12:00:00,Night,Thursday,Staten Island,Suburb,37.2,26,Windy,Motorbike,10.6,1189,1,6,0,MEDIUM
2023-01-06 13:00:00,Night,Sunday,Bronx,Downtown,17.7,42,Clear,Truck,62.2,2259,2,7,0,MEDIUM
2023-01-06 14:00:00,Morning,Wednesday,Staten Island,Uptown,21.1,39,Foggy,Truck,35.0,367,0,6,1,MEDIUM
2023-01-06 15:00:00,Evening,Wednesday,Manhattan,Airport,23.6,66,Foggy,Bus,15.1,3841,3,4,0,HIGH
2023-01-06 16:00:00,Afternoon,Monday,Staten Island,Highway,27.2,49,Windy,Bus,22.6,2123,1,1,0,MEDIUM
2023-01-06 17:00:00,Afternoon,Wednesday,Bronx,Market,16.7,78,Stormy,Bicycle,44.3,2598,2,6,0,MEDIUM
2023-01-06 18:00:00,Evening,Friday,Manhattan,Market,17.7,39,Windy,Motorbike,41.1,2959,1,7,0,MEDIUM
2023-01-06 19:00:00,Night,Saturday,Bronx,Downtown,30.9,80,Cloudy,Motorbike,59.1,1032,4,8,0,MEDIUM
2023-01-06 20:00:00,Night,Saturday,Brooklyn,Highway,27.5,38,Clear,Bus,58.7,2220,1,9,0,MEDIUM
2023-01-06 21:00:00,Afternoon,Friday,Staten Island,Downtown,26.8,77,Rainy,Car,24.2,3040,4,3,0,MEDIUM
2023-01-06 22:00:00,Evening,Saturday,Queens,Airport,31.5,75,Clear,Bicycle,31.8,4990,0,4,0,MEDIUM
2023-01-06 23:00:00,Night,Sunday,Brooklyn,Market,18.6,74,Windy,Car,76.1,3215,0,8,0,HIGH
2023-01-07 00:00:00,Morning,Monday,Manhattan,Downtown,25.1,30,Clear,Car,41.4,4154,2,3,1,HIGH
2023-01-07 01:00:00,Afternoon,Sunday,Brooklyn,Uptown,34.1,87,Stormy,Car,29.9,2145,3,7,0,MEDIUM
2023-01-07 02:00:00,Night,Thursday,Brooklyn,Highway,22.9,80,Foggy,Car,29.5,3394,1,4,0,MEDIUM
2023-01-07 03:00:00,Afternoon,Wednesday,Bronx,Airport,31.9,78,Foggy,Motorbike,31.4,2991,0,1,0,MEDIUM
2023-01-07 04:00:00,Afternoon,Monday,Brooklyn,Market,37.0,41,Windy,Car,38.4,4839,0,9,0,MEDIUM
2023-01-07 05:00:00,Afternoon,Wednesday,Queens,Airport,26.4,32,Windy,Bus,24.3,3829,2,6,0,MEDIUM
2023-01-07 06:00:00,Morning,Monday,Queens,Downtown,37.0,73,Windy,Car,72.3,4176,2,2,0,HIGH
2023-01-07 07:00:00,Evening,Thursday,Queens,Suburb,28.2,55,Rainy,Bus,60.7,1051,3,2,1,MEDIUM
2023-01-07 08:00:00,Afternoon,Wednesday,Bronx,Suburb,33.3,68,Rainy,Car,62.0,1759,0,6,0,MEDIUM
2023-01-07 09:00:00,Morning,Wednesday,Queens,Suburb,40.5,25,Windy,Bicycle,29.2,4658,1,3,1,MEDIUM
2023-01-07 10:00:00,Night,Sunday,Bronx,Highway,17.8,34,Rainy,Car,67.6,4485,2,4,0,HIGH
2023-01-07 11:00:00,Night,Saturday,Brooklyn,Market,33.4,48,Foggy,Truck,67.7,4100,2,2,0,HIGH
2023-01-07 12:00:00,Afternoon,Thursday,Brooklyn,Downtown,27.9,71,Stormy,Truck,67.7,3296,2,8,0,HIGH
2023-01-07 13:00:00,Afternoon,Friday,Bronx,Market,25.7,90,Foggy,Bicycle,16.9,1059,1,3,0,MEDIUM
2023-01-07 14:00:00,Afternoon,Sunday,Manhattan,Industrial,41.7,82,Windy,Bicycle,61.7,1918,3,5,1,MEDIUM
2023-01-07 15:00:00,Evening,Sunday,Bronx,Industrial,25.6,87,Windy,Bicycle,48.1,2669,3,2,0,MEDIUM
2023-01-07 16:00:00,Morning,Wednesday,Brooklyn,Airport,37.3,82,Stormy,Bus,35.2,2776,0,4,0,MEDIUM
2023-01-07 17:00:00,Afternoon,Saturday,Queens,Market,27.1,50,Rainy,Car,25.2,2642,4,2,0,MEDIUM
2023-01-07 18:00:00,Morning,Monday,Brooklyn,Suburb,32.8,80,Rainy,Bicycle,14.9,2507,1,4,0,MEDIUM
2023-01-07 19:00:00,Afternoon,Tuesday,Brooklyn,Market,34.2,56,Stormy,Bus,48.4,1834,2,8,0,MEDIUM
2023-01-07 20:00:00,Morning,Friday,Brooklyn,Market,27.2,38,Foggy,Bicycle,22.9,4137,3,6,0,MEDIUM
2023-01-07 21:00:00,Night,Friday,Manhattan,Downtown,28.9,26,Clear,Bicycle,14.9,3790,1,7,0,HIGH
2023-01-07 22:00:00,Afternoon,Tuesday,Manhattan,Downtown,33.9,78,Windy,Car,78.4,2517,0,9,0,MEDIUM
2023-01-07 23:00:00,Evening,Thursday,Manhattan,Downtown,34.5,40,Stormy,Bicycle,14.6,2500,0,7,0,MEDIUM
2023-01-08 00:00:00,Afternoon,Monday,Bronx,Uptown,19.0,53,Foggy,Motorbike,72.8,482,2,4,0,LOW
2023-01-08 01:00:00,Night,Monday,Staten Island,Downtown,30.3,88,Rainy,Motorbike,28.7,3044,2,1,0,MEDIUM
2023-01-08 02:00:00,Night,Tuesday,Bronx,Airport,29.0,36,Cloudy,Bus,51.2,112,2,6,0,LOW
2023-01-08 03:00:00,Evening,Saturday,Queens,Suburb,19.9,52,Rainy,Car,16.9,614,3,2,0,HIGH
2023-01-08 04:00:00,Afternoon,Friday,Queens,Downtown,25.7,31,Stormy,Truck,73.5,2294,4,3,0,MEDIUM
2023-01-08 05:00:00,Afternoon,Wednesday,Bronx,Airport,39.4,57,Clear,Bus,29.6,2142,2,6,1,MEDIUM
2023-01-08 06:00:00,Evening,Monday,Queens,Uptown,35.1,33,Clear,Truck,76.1,2869,0,6,0,MEDIUM
2023-01-08 07:00:00,Night,Tuesday,Staten Island,Highway,28.4,89,Clear,Bus,35.3,2188,0,2,1,MEDIUM
2023-01-08 08:00:00,Afternoon,Sunday,Staten Island,Industrial,38.6,36,Windy,Car,17.1,2413,2,8,0,MEDIUM
2023-01-08 09:00:00,Night,Saturday,Brooklyn,Market,18.2,27,Clear,Motorbike,28.2,867,1,4,0,MEDIUM
2023-01-08 10:00:00,Morning,Thursday,Bronx,Market,24.3,29,Foggy,Car,40.5,2036,4,5,0,MEDIUM
2023-01-08 11:00:00,Morning,Saturday,Bronx,Uptown,22.0,93,Stormy,Bus,21.9,306,2,5,0,MEDIUM
2023-01-08 12:00:00,Evening,Sunday,Staten Island,Uptown,22.2,76,Clear,Bicycle,48.4,3547,0,7,0,HIGH
2023-01-08 13:00:00,Evening,Tuesday,Manhattan,Industrial,18.9,27,Clear,Motorbike,18.0,1218,3,5,0,MEDIUM
2023-01-08 14:00:00,Evening,Friday,Manhattan,Suburb,33.4,32,Stormy,Car,31.8,1893,0,4,1,MEDIUM
2023-01-08 15:00:00,Night,Sunday,Manhattan,Airport,25.2,67,Windy,Car,54.1,4414,2,2,0,HIGH
2023-01-08 16:00:00,Morning,Friday,Manhattan,Uptown,17.7,55,Cloudy,Bus,62.2,1953,3,5,0,MEDIUM
2023-01-08 17:00:00,Evening,Wednesday,Brooklyn,Highway,19.5,91,Cloudy,Motorbike,53.0,148,4,4,0,LOW
2023-01-08 18:00:00,Afternoon,Friday,Queens,Highway,37.2,61,Clear,Truck,68.2,2677,0,1,0,MEDIUM
2023-01-08 19:00:00,Morning,Monday,Manhattan,Suburb,29.9,46,Stormy,Motorbike,66.0,766,2,1,0,LOW
2023-01-08 20:00:00,Evening,Wednesday,Brooklyn,Market,32.2,25,Foggy,Truck,43.8,3565,3,6,0,HIGH
2023-01-08 21:00:00,Night,Saturday,Manhattan,Highway,17.7,68,Clear,Bicycle,28.5,319,0,3,1,MEDIUM
2023-01-08 22:00:00,Afternoon,Thursday,Bronx,Airport,32.1,28,Cloudy,Truck,16.2,4503,1,1,0,HIGH
2023-01-08 23:00:00,Evening,Friday,Brooklyn,Uptown,23.9,66,Windy,Car,71.8,3199,2,1,0,HIGH
2023-01-09 00:00:00,Afternoon,Friday,Manhattan,Downtown,40.7,55,Stormy,Motorbike,69.4,4855,1,3,0,HIGH
2023-01-09 01:00:00,Afternoon,Tuesday,Bronx,Highway,39.9,71,Rainy,Motorbike,31.4,1790,4,4,0,MEDIUM
2023-01-09 02:00:00,Morning,Saturday,Queens,Industrial,17.6,25,Rainy,Car,38.5,3348,2,8,0,MEDIUM
2023-01-09 03:00:00,Evening,Thursday,Staten Island,Market,21.6,74,Windy,Truck,10.9,112,0,6,0,HIGH
2023-01-09 04:00:00,Afternoon,Sunday,Manhattan,Market,33.6,52,Foggy,Truck,62.7,3580,0,7,0,HIGH
2023-01-09 05:00:00,Morning,Tuesday,Manhattan,Suburb,28.8,80,Cloudy,Car,43.8,4062,3,2,0,HIGH
2023-01-09 06:00:00,Afternoon,Thursday,Queens,Suburb,17.5,71,Windy,Truck,32.8,4545,4,5,0,MEDIUM
2023-01-09 07:00:00,Afternoon,Tuesday,Staten Island,Downtown,18.9,77,Clear,Bus,76.3,3158,3,9,0,HIGH
2023-01-09 08:00:00,Afternoon,Saturday,Bronx,Highway,28.1,65,Rainy,Motorbike,43.6,2986,2,1,1,MEDIUM
2023-01-09 09:00:00,Morning,Sunday,Manhattan,Industrial,16.0,78,Cloudy,Car,79.0,280,4,5,0,LOW
2023-01-09 10:00:00,Morning,Wednesday,Staten Island,Downtown,37.2,88,Rainy,Bicycle,55.1,3236,1,5,1,HIGH
2023-01-09 11:00:00,Afternoon,Sunday,Queens,Highway,31.4,60,Stormy,Bus,38.9,1794,1,4,0,MEDIUM
2023-01-09 12:00:00,Evening,Sunday,Staten Island,Industrial,40.2,41,Stormy,Truck,25.8,3530,4,7,1,MEDIUM
2023-01-09 13:00:00,Afternoon,Wednesday,Manhattan,Market,15.2,94,Stormy,Car,21.7,3222,1,2,0,MEDIUM
2023-01-09 14:00:00,Evening,Monday,Queens,Airport,35.6,62,Clear,Bicycle,58.0,711,1,7,0,LOW
2023-01-09 15:00:00,Evening,Saturday,Manhattan,Uptown,23.7,87,Clear,Motorbike,34.3,1875,3,4,1,MEDIUM
